Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-10-15,C03,1,ambient,control,8.433182775,84.33182775,12.32764198,123.2764198,20.76082475,207.6082475,41.04,0.3974
2013-10-15,C03,2,ambient,control,10.15637219,101.5637219,14.03091594,140.3091594,24.18728813,241.8728813,42.82,0.4962
2013-10-15,C03,3,ambient,control,9.596963262,95.96963262,13.78287424,137.8287424,23.3798375,233.798375,49.41,0.5462
2013-10-15,C04,1,elevated,control,6.717096362,67.17096362,12.92765843,129.2765843,19.6447548,196.447548,62.6,0.6796
2013-10-15,C04,2,elevated,control,8.064270736,80.64270736,14.33598407,143.3598407,22.40025481,224.0025481,48.57,0.5206
2013-10-15,C04,3,elevated,control,8.568983205,85.68983205,15.80051637,158.0051637,24.36949958,243.6949958,48.11,0.4159
2013-10-15,C05,1,ambient,control,16.07362495,160.7362495,12.80404911,128.0404911,28.87767406,288.7767406,31.21,0.3673
2013-10-15,C05,2,ambient,control,11.38871686,113.8871686,12.175794,121.75794,23.56451085,235.6451085,29.93,0.3057
2013-10-15,C05,3,ambient,control,14.50504458,145.0504458,13.31931066,133.1931066,27.82435524,278.2435524,23.85,0.3166
2013-10-15,C06,1,elevated,control,8.44490017,84.4490017,12.19073939,121.9073939,20.63563956,206.3563956,33.88,0.3356
2013-10-15,C06,2,elevated,control,8.589651779,85.89651779,12.08283438,120.8283438,20.67248616,206.7248616,42.17,0.4659
2013-10-15,C06,3,elevated,control,8.117919645,81.17919645,12.49514448,124.9514448,20.61306412,206.1306412,31.3,0.3004
2013-10-15,C07,1,ambient,control,15.32308524,153.2308524,11.34671256,113.4671256,26.6697978,266.697978,64.23,0.724
2013-10-15,C07,2,ambient,control,9.74260539,97.4260539,13.25560843,132.5560843,22.99821382,229.9821382,73.08,0.8797
2013-10-15,C07,3,ambient,control,12.15267971,121.5267971,10.45264275,104.5264275,22.60532246,226.0532246,58.78,0.6288
2013-10-15,C08,1,elevated,control,10.96699827,109.6699827,11.36935608,113.6935608,22.33635435,223.3635435,46.1,0.4917
2013-10-15,C08,2,elevated,control,8.80702178,88.0702178,10.84733,108.4733,19.65435178,196.5435178,22.28,0.2263
2013-10-15,C08,3,elevated,control,9.009240809,90.09240809,13.66583422,136.6583422,22.67507503,226.7507503,49.71,0.508
2013-10-15,C09,1,ambient,control,11.20493558,112.0493558,13.55521389,135.5521389,24.76014947,247.6014947,52.13,0.5156
2013-10-15,C09,2,ambient,control,9.64850257,96.4850257,14.95142245,149.5142245,24.59992502,245.9992502,53.46,0.5425
2013-10-15,C09,3,ambient,control,7.840222763,78.40222763,13.37844748,133.7844748,21.21867024,212.1867024,40.6,0.4666
2013-10-15,C10,1,elevated,control,0.678011763,6.780117631,0.893133549,8.931335489,1.571145312,15.71145312,35.08,0.3961
2013-10-15,C10,2,elevated,control,6.779848584,67.79848584,10.36263498,103.6263498,17.14248356,171.4248356,39.96,0.443
2013-10-15,C10,3,elevated,control,11.0798153,110.798153,11.37594494,113.7594494,22.45576024,224.5576024,36.27,0.3879
2013-10-15,C11,1,ambient,control,12.33676351,123.3676351,10.31561597,103.1561597,22.65237948,226.5237948,64.79,0.7083
2013-10-15,C11,2,ambient,control,11.31016452,113.1016452,11.16231795,111.6231795,22.47248247,224.7248247,57.57,0.6763
2013-10-15,C11,3,ambient,control,9.152657656,91.52657656,12.01507607,120.1507607,21.16773372,211.6773372,53.22,0.5232
2013-10-15,C12,1,elevated,control,13.83127527,138.3127527,10.31789012,103.1789012,24.14916539,241.4916539,34.38,0.3838
2013-10-15,C12,2,elevated,control,9.872471606,98.72471606,9.533243791,95.33243791,19.4057154,194.057154,44.32,0.4927
2013-10-15,C12,3,elevated,control,14.3830523,143.830523,11.21996535,112.1996535,25.60301765,256.0301765,42.99,0.4515
2013-11-13,C01,1,ambient,control,10.44198322,104.4198322,14.37540882,143.7540882,24.81739203,248.1739203,52.47,0.4578
2013-11-13,C01,2,ambient,control,12.07977088,120.7977088,12.7636274,127.636274,24.84339828,248.4339828,38.69,0.3549
2013-11-13,C01,3,ambient,control,26.16936946,261.6936946,12.26258802,122.6258802,38.43195748,384.3195748,46.31,0.5008
2013-11-13,C02,1,elevated,control,6.691854297,66.91854297,8.291505048,82.91505048,14.98335935,149.8335935,33.65,0.2511
2013-11-13,C02,2,elevated,control,7.188071853,71.88071853,7.469233636,74.69233636,14.65730549,146.5730549,34.21,0.2398
2013-11-13,C02,3,elevated,control,6.795829315,67.95829315,9.393613445,93.93613445,16.18944276,161.8944276,41.34,0.3464
2013-11-13,C03,1,ambient,control,7.843554283,78.43554283,11.46745607,114.6745607,19.31101035,193.1101035,39.07,0.4728
2013-11-13,C03,2,ambient,control,7.651254348,76.51254348,13.12551805,131.2551805,20.7767724,207.767724,23.25,0.2509
2013-11-13,C03,3,ambient,control,9.689901871,96.89901871,12.08647908,120.8647908,21.77638095,217.7638095,45.94,0.551
2013-11-13,C04,1,elevated,control,0.89767901,8.976790104,0.902927746,9.029277466,1.800606757,18.00606757,26.81,0.2571
2013-11-13,C04,2,elevated,control,6.96223991,69.6223991,8.730173894,87.30173894,15.6924138,156.924138,40.93,0.3774
2013-11-13,C04,3,elevated,control,8.373107777,83.73107777,12.04771309,120.4771309,20.42082086,204.2082086,35.48,0.3672
2013-11-13,C05,1,ambient,control,13.06145014,130.6145014,15.22271644,152.2271644,28.28416658,282.8416658,40.45,0.3984
2013-11-13,C05,2,ambient,control,14.66847145,146.6847145,14.33376728,143.3376728,29.00223873,290.0223873,38.5,0.3771
